

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-07-24T23:33:28PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
111|CANDELS J033243.67-274850.8| 53.18201 | -27.81415 |G|2845031| 9.490000 |PUN |     |  0.000|12|0|38|8|6|0|0
112|CANDELS J033249.93-274818.1| 53.20806 | -27.80503 |G|2419325| 8.070000 |PUN |     |  0.000|7|0|1|4|4|0|0
113|HRG14 J033257.29-275141.7| 53.23871 | -27.86158 |IrS|2437313| 8.130000 |PUN |     |  0.000|1|0|0|1|1|0|0
114|[BIO2015] HUDF091Y 2579141193 | 53.24129 | -27.68869 |G|2404336| 8.020000 |PUN |     |  0.000|1|0|1|1|1|0|0
115|[BIO2015] HUDF091Y 3014840311 | 53.25617 | -27.67531 |G|2542240| 8.480000 |PUN |     |  0.000|1|0|1|1|1|0|0
116|HRG14 J033302.02-273956.8| 53.25840 | -27.66577 |IrS|2416328| 8.060000 |PUN |     |  0.000|1|0|0|1|1|0|0
117|UDF092y 03391003| 53.26412 | -27.85008 |IrS|2542240| 8.480000 |PUN |28.2H|  0.000|3|0|4|3|2|0|0
118|[BIO2015] HUDF092Y 3041350557 | 53.26721 | -27.84881 |G|2599201| 8.670000 |PUN |     |  0.000|1|0|1|1|1|0|0
119|UDF092y 04242094| 53.26767 | -27.86928 |IrS|2818050| 9.400000 |PUN |28.3H|  0.000|2|0|3|2|1|0|0
120|[BIO2015] HUDF092Y 3050050583 | 53.27083 | -27.84953 |G|2458298| 8.200000 |PUN |     |  0.000|1|0|1|1|1|0|0
121|[BIO2015] HUDF091Y 3053941244 | 53.27246 | -27.69011 |G|2458298| 8.200000 |PUN |     |  0.000|1|0|1|1|1|0|0
122|[BIO2015] HUDF092Y 3058852251 | 53.27450 | -27.87364 |G|2485280| 8.290000 |PUN |     |  0.000|1|0|1|1|1|0|0
123|HRG14 J033306.97-275027.9| 53.27904 | -27.84108 |IrS|2461296| 8.210000 |PUN |28.0H|  0.000|4|0|4|4|3|0|0
124|UDF092y 07580550| 53.28158 | -27.84861 |IrS|2518257| 8.400000 |PUN |27.1H|  0.000|5|0|4|5|4|0|0
125|[BIO2015] HUDF092Y 3075951567 | 53.28162 | -27.86575 |G|2431317| 8.110000 |PUN |     |  0.000|1|0|1|1|1|0|0
126|UDF092y 09661163| 53.29025 | -27.85453 |IrS|2458298| 8.200000 |PUN |27.2H|  0.000|3|0|4|3|1|0|0
127|[RMT2022] 0409-5317_0291| 62.29940 | -53.29070 |G|2964948| 9.890000 |PUN |     |  0.000|1|0|0|1|1|0|0
128|[RMT2022] 0409-5317_0313| 62.33710 | -53.25900 |G|2404336| 8.020000 |PUN |     |  0.000|1|0|0|1|1|0|0
129|MACS J0416-2403:[IZL2015] 8958| 64.02541 | -24.08225 |G|3031502|10.112000 |UUN |     |  0.000|1|0|0|1|1|0|0
130|MACS J0416.1-2403:[LSK2015] Y4| 64.03756 | -24.08810 |G|2452003| 8.179000 |PST |     |  0.000|7|0|5|9|8|0|0
131|MACS J0416-2403_z8_004209| 64.03758 | -24.08811 |IrS|2440311| 8.140000 |PUN |     |  0.000|6|0|10|5|4|0|0
132|MACS J0416:[BZC2014] 1830| 64.03798 | -24.08883 |G|2428319| 8.100000 |PUN |     |  0.000|2|0|17|2|1|0|0
133|[MMD2015] HFF2C-09-1| 64.03917 | -24.09318 |IrS|2596203| 8.660000 |PUN |     |  0.000|4|0|10|4|3|0|0
134|MACS J0416.1-2403:[LSK2015] Y1| 64.03917 | -24.09318 |G|2548236| 8.500000 |PUN |     |  0.000|12|0|5|6|6|0|0
135|MACS J0416-2403_z8_001341| 64.04068 | -24.06739 |G|2539242| 8.470000 |PUN |     |  0.000|1|0|0|1|1|0|0
136|MACS J0416-2403_z8_002943| 64.04140 | -24.07893 |G|2407334| 8.030000 |PUN |     |  0.000|4|0|10|4|2|0|0
137|MACS J0416-2403:[IZL2015] 1859| 64.04313 | -24.05791 |IrS|2608195| 8.700000 |PUN |     |  0.000|5|0|10|4|3|0|0
138|MACS J0416-2403_z8_012302| 64.04517 | -24.07811 |G|2470290| 8.240000 |PUN |     |  0.000|2|0|10|2|1|0|0
139|[MMD2015] HFF2C-09-5| 64.04621 | -24.09134 |IrS|2578216| 8.600000 |PUN |     |  0.000|4|0|10|3|2|0|0
140|MACS J0416:[MAC2016] 022746| 64.04651 | -24.06163 |G|2506265| 8.360000 |PUN |     |  0.000|2|0|10|2|1|0|0
141|MACS J0416.1-2403:[LSK2015] Y2| 64.04799 | -24.08167 |G|2504766| 8.355000 |PST |     |  0.000|11|0|15|9|7|0|0
142|[MMD2015] HFF2C-09-2| 64.04800 | -24.08167 |IrS|2548236| 8.500000 |PUN |     |  0.000|3|0|0|3|3|0|0
143|MACS J0416.1-2403:[LSK2015] Y3| 64.04804 | -24.08143 |G|2570721| 8.575000 |PST |     |  0.000|8|0|13|8|8|0|0
